city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count
Helsinki,Finland,FI,2018,60.1699,24.9384,13.299291160791029,2.461565973142174,219.0518035888672,16060
Lisbon,Portugal,PT,2018,38.7223,-9.1393,19.161001926468145,6.480722125974781,174.08358764648438,10245
Porto,Portugal,PT,2018,41.1579,-8.6291,11.313255742490108,4.460851137346966,132.10264587402344,10621
Athens,Greece,GR,2018,37.9838,23.7275,18.77136151513129,4.921816126712601,276.52508544921875,10152
Dublin,Ireland,IE,2018,53.3498,-6.2603,7.284624581524963,1.474930950440808,228.54653930664065,13398
Bucharest,Romania,RO,2018,44.4268,26.1025,8.014454603767513,2.427442354843371,181.86050415039065,11205
Sofia,Bulgaria,BG,2018,42.6977,23.3219,4.7637392110169285,1.4158992868698723,138.94607543945312,10885
Zagreb,Croatia,HR,2018,45.815,15.9819,8.054795336008583,2.45089874966887,148.31228637695312,11476
Tallinn,Estonia,EE,2018,59.437,24.7536,6.230604231465481,0.0690700660826239,220.86068725585935,15717
Riga,Latvia,LV,2018,56.9496,24.1052,5.1545693147626235,1.2301660485870525,1116.8028564453125,14647
Madrid,Spain,ES,2019,40.4168,-3.7038,25.4571958013353,10.5077865544431,191.08982849121097,10514
Barcelona,Spain,ES,2019,41.3851,2.1734,18.686414906800888,4.897573093959371,300.1515808105469,10661
Paris,France,FR,2019,48.8566,2.3522,31.5911390098231,26.940279304144436,292.13165283203125,12147
Lyon,France,FR,2019,45.764,4.8357,9.810480701450164,3.4450650265478213,158.57196044921875,11475
Berlin,Germany,DE,2019,52.52,13.405,8.474160874012265,4.482005676042449,146.58302307128906,13148
Hamburg,Germany,DE,2019,53.5511,9.9937,6.534265128866795,2.8147261231804475,424.888427734375,13453
Munich,Germany,DE,2019,48.1351,11.582,4.631565924734456,1.4308517768327471,147.1907196044922,11985
Rome,Italy,IT,2019,41.9028,12.4964,15.28785365798491,8.535922104681868,183.75064086914065,10755
Milan,Italy,IT,2019,45.4642,9.19,20.44563361754306,15.513385197594392,157.3029327392578,11411
Naples,Italy,IT,2019,40.8518,14.2681,15.250459383197343,6.506602339086425,163.1600799560547,10571
Amsterdam,Netherlands,NL,2019,52.3676,4.9041,11.136729981758764,2.693865609807088,1217.859375,13101
Rotterdam,Netherlands,NL,2019,51.9244,4.4777,59.99047159601249,15.120839350448156,10591.6767578125,12962
Brussels,Belgium,BE,2019,50.8503,4.3517,11.873009298561271,6.466624333622304,216.3905334472656,12665
Vienna,Austria,AT,2019,48.2082,16.3738,6.597839906039193,1.4215867410184702,174.9507598876953,12011
Prague,Czech Republic,CZ,2019,50.0755,14.4378,7.881837227550216,2.450430869697703,233.63897705078125,12460
Warsaw,Poland,PL,2019,52.2297,21.0122,13.496038570594235,6.48898190337156,201.2209625244141,13043
Budapest,Hungary,HU,2019,47.4979,19.0402,8.997772891683248,3.477333588933581,145.96835327148438,11847
Copenhagen,Denmark,DK,2019,55.6761,12.5683,4.310492780312831,0.0247524439502749,149.4930419921875,14179
Stockholm,Sweden,SE,2019,59.3293,18.0686,14.907731349338556,5.7120113264956,684.6163330078125,15670
Oslo,Norway,NO,2019,59.9139,10.7522,10.901914959114828,0.6874845230970721,593.760498046875,15931
Helsinki,Finland,FI,2019,60.1699,24.9384,12.15829287700878,1.5848738455016165,210.1514434814453,16060
Lisbon,Portugal,PT,2019,38.7223,-9.1393,18.955128774322304,6.4529048728027565,174.40530395507812,10245
Porto,Portugal,PT,2019,41.1579,-8.6291,11.247869051994964,4.467964937690042,134.14552307128906,10621
Athens,Greece,GR,2019,37.9838,23.7275,19.3822842131247,4.876653409409612,274.85498046875,10152
Dublin,Ireland,IE,2019,53.3498,-6.2603,7.073515702373755,1.4952646159416334,186.59844970703125,13398
Bucharest,Romania,RO,2019,44.4268,26.1025,8.147304711952106,2.442526165719855,153.5391845703125,11205
Sofia,Bulgaria,BG,2019,42.6977,23.3219,4.87084254345418,1.4106301389722455,147.79913330078125,10885
Zagreb,Croatia,HR,2019,45.815,15.9819,7.964284941613346,2.450067696098305,168.00344848632812,11476
Tallinn,Estonia,EE,2019,59.437,24.7536,5.559596333817803,0.0836654948540728,195.78048706054688,15717
